"ID","symbol","port","region"
"http://dunl.org/c/port/TAIPA00","TAIPA00","Abidjan Port Charge","Africa"
"http://dunl.org/c/port/TAOPA00","TAOPA00","Abo FPSO Port Charge","Africa"
"http://dunl.org/c/port/ATDPC00","ATDPC00","Agioi Theodoroi Disport Charge","Europe"
"http://dunl.org/c/port/TAODP00","TAODP00","Agioi Theodoroi Port Charge","Europe"
"http://dunl.org/c/port/TANPA00","TANPA00","Ain Sukhna Port Charge","Africa"
"http://dunl.org/c/port/ALEDC00","ALEDC00","Alexandria Disport Charge","Africa"
"http://dunl.org/c/port/TAXPC00","TAXPC00","Alexandria Port Charge","Africa"
"http://dunl.org/c/port/ALGDC00","ALGDC00","Algeciras Disport Charge","Europe"
"http://dunl.org/c/port/TACPA00","TACPA00","Algeciras Port Charge","Europe"
"http://dunl.org/c/port/TARPA00","TARPA00","Algiers Port Charge","Africa"
"http://dunl.org/c/port/ALIDC00","ALIDC00","Aliaga Disport Charge","Europe"
"http://dunl.org/c/port/TATPA00","TATPA00","Aliaga Port Charge","Europe"
"http://dunl.org/c/port/AMSDC00","AMSDC00","Amsterdam Disport Charge","Europe"
"http://dunl.org/c/port/TASPA00","TASPA00","Amsterdam Port Charge","Europe"
"http://dunl.org/c/port/TAIPC00","TAIPC00","Angra Dos Reis Port Charge","Americas"
"http://dunl.org/c/port/ANTDC00","ANTDC00","Antwerp Disport Charge","Europe"
"http://dunl.org/c/port/TARPC00","TARPC00","Antwerp Port Charge","Europe"
"http://dunl.org/c/port/TAAPA00","TAAPA00","Aqaba Port Charge","Asia Pacific"
"http://dunl.org/c/port/TATPC00","TATPC00","Aratu Port Charge","Americas"
"http://dunl.org/c/port/TABPA00","TABPA00","Aruba Port Charge","Americas"
"http://dunl.org/c/port/ARZDC00","ARZDC00","Arzew Disport Charge","Africa"
"http://dunl.org/c/port/TAEPA00","TAEPA00","Arzew Port Charge","Africa"
"http://dunl.org/c/port/TAOPC00","TAOPC00","Aspropyrgos Port Charge","Europe"
"http://dunl.org/c/port/AUGDC00","AUGDC00","Augusta Disport Charge","Europe"
"http://dunl.org/c/port/TAGPA00","TAGPA00","Augusta Port Charge","Europe"
"http://dunl.org/c/port/TBIPC00","TBIPC00","Bahrain Port Charge","Asia Pacific"
